Text,Label
Limited time offer! Buy 1 get 1 free on all items,Spam
Are we still meeting for lunch today?,Not Spam
Can you please send over the latest project report,Not Spam
"Congratulations, you've been selected for a $500 gift card! Claim your prize now",Spam
"Hi, just checking in to see how you're doing",Not Spam
Get your free entry to the contest by replying to this message,Spam
"You're pre-approved for a $10,000 loan. Apply now",Spam
Looking forward to our meeting on Friday. Let me know if you need anything!,Not Spam
Urgent! Your account has been compromised. Click here to secure it immediately.,Spam
Just finished the report. I?ll send it to you shortly,Not Spam
Flash Sale! 50% off all products for the next 24 hours only.,Spam
You?re eligible for a huge discount on insurance. Call us today to save big,Spam
Update your account info now to avoid losing access. Act fast!,Spam
Thanks for the dinner invitation! I?ll be there at 7 PM,Not Spam
Exclusive offer: Get 70% off your next purchase by clicking here now!,Spam
Win a $1000 Walmart gift card. Reply with 'YES' to claim.,Spam
"Hey, can you call me back when you're free?",Not Spam
Don't forget about the meeting tomorrow at 10 AM,Not Spam
